date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:17:34	112693/112693	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2015:17:33%20GMT	https://demo1.leotheme.com/ap_booking_demo/en/13-postea-dissentias	C:/My%20Web%20Sites/qlks/demo1.leotheme.com/ap_booking_demo/en/13-postea-dissentias.html	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
22:17:35	113053/113053	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2015:17:34%20GMT	https://demo1.leotheme.com/ap_booking_demo/en/5-vases	C:/My%20Web%20Sites/qlks/demo1.leotheme.com/ap_booking_demo/en/5-vases.html	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
22:17:35	113047/113047	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2015:17:35%20GMT	https://demo1.leotheme.com/ap_booking_demo/en/7-basics	C:/My%20Web%20Sites/qlks/demo1.leotheme.com/ap_booking_demo/en/7-basics.html	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
22:17:36	112901/112901	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2015:17:36%20GMT	https://demo1.leotheme.com/ap_booking_demo/en/14-erant-integre	C:/My%20Web%20Sites/qlks/demo1.leotheme.com/ap_booking_demo/en/14-erant-integre.html	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
22:17:37	112934/112934	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2015:17:37%20GMT	https://demo1.leotheme.com/ap_booking_demo/en/15-maiestatis-ius	C:/My%20Web%20Sites/qlks/demo1.leotheme.com/ap_booking_demo/en/15-maiestatis-ius.html	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
22:17:38	96886/96886	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2015:17:38%20GMT	https://demo1.leotheme.com/ap_booking_demo/en/content/4-about-us	C:/My%20Web%20Sites/qlks/demo1.leotheme.com/ap_booking_demo/en/content/4-about-us.html	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
22:17:39	95820/95820	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2015:17:38%20GMT	https://demo1.leotheme.com/ap_booking_demo/en/content/2-legal-notice	C:/My%20Web%20Sites/qlks/demo1.leotheme.com/ap_booking_demo/en/content/2-legal-notice.html	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
22:17:40	95154/95154	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2015:17:39%20GMT	https://demo1.leotheme.com/ap_booking_demo/en/content/5-secure-payment	C:/My%20Web%20Sites/qlks/demo1.leotheme.com/ap_booking_demo/en/content/5-secure-payment.html	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
22:17:40	95428/95428	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2015:17:40%20GMT	https://demo1.leotheme.com/ap_booking_demo/en/content/7-aeu-legal-privacy	C:/My%20Web%20Sites/qlks/demo1.leotheme.com/ap_booking_demo/en/content/7-aeu-legal-privacy.html	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
22:17:41	99124/99124	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2015:17:41%20GMT	https://demo1.leotheme.com/ap_booking_demo/en/address	C:/My%20Web%20Sites/qlks/demo1.leotheme.com/ap_booking_demo/en/address.html	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
22:17:42	97052/97052	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2015:17:41%20GMT	https://demo1.leotheme.com/ap_booking_demo/en/contact-us	C:/My%20Web%20Sites/qlks/demo1.leotheme.com/ap_booking_demo/en/contact-us.html	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
22:17:43	95286/95286	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Aug%202022%2015:17:42%20GMT	https://demo1.leotheme.com/ap_booking_demo/en/page-not-found	C:/My%20Web%20Sites/qlks/demo1.leotheme.com/ap_booking_demo/en/page-not-found	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
22:17:44	83190/83190	---M--	200	added ('OK')	image/jpeg	etag:%22144f6-582c26e56c580%22	https://demo1leotheme.b-cdn.net/ap_booking_demo/themes/ap_booking/assets/img/modules/leobootstrapmenu/banner-2.jpg	C:/My%20Web%20Sites/qlks/demo1leotheme.b-cdn.net/ap_booking_demo/themes/ap_booking/assets/img/modules/leobootstrapmenu/banner-2.jpg	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
22:17:44	100228/100228	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2015:17:44%20GMT	https://demo1.leotheme.com/ap_booking_demo/en/sitemap	C:/My%20Web%20Sites/qlks/demo1.leotheme.com/ap_booking_demo/en/sitemap.html	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
22:17:45	9971/9971	---M--	200	added ('OK')	image/jpeg	etag:%2226f3-582c26e56c580%22	https://demo1leotheme.b-cdn.net/ap_booking_demo/themes/ap_booking/assets/img/modules/leobootstrapmenu/img-about.jpg	C:/My%20Web%20Sites/qlks/demo1leotheme.b-cdn.net/ap_booking_demo/themes/ap_booking/assets/img/modules/leobootstrapmenu/img-about.jpg	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
22:17:45	107257/107257	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2015:17:45%20GMT	https://demo1.leotheme.com/ap_booking_demo/en/galleries.html	C:/My%20Web%20Sites/qlks/demo1.leotheme.com/ap_booking_demo/en/galleries.html	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
22:17:46	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262e40fa8-4d7%22	https://demo1.leotheme.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/qlks/demo1.leotheme.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
22:17:46	129057/129057	---M--	200	added ('OK')	image/jpeg	etag:%221f821-582c26e56c580%22	https://demo1leotheme.b-cdn.net/ap_booking_demo/themes/ap_booking/assets/img/modules/appagebuilder/images/nimbia-5.jpg	C:/My%20Web%20Sites/qlks/demo1leotheme.b-cdn.net/ap_booking_demo/themes/ap_booking/assets/img/modules/appagebuilder/images/nimbia-5.jpg	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
22:17:47	113324/113324	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2015:17:46%20GMT	https://demo1.leotheme.com/ap_booking_demo/en/blog.html	C:/My%20Web%20Sites/qlks/demo1.leotheme.com/ap_booking_demo/en/blog.html	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
22:17:47	82688/82688	---M--	200	added ('OK')	image/jpeg	etag:%2214300-582c26e56c580%22	https://demo1leotheme.b-cdn.net/ap_booking_demo/themes/ap_booking/assets/img/modules/appagebuilder/images/nimbia-4.jpg	C:/My%20Web%20Sites/qlks/demo1leotheme.b-cdn.net/ap_booking_demo/themes/ap_booking/assets/img/modules/appagebuilder/images/nimbia-4.jpg	(from https://demo1.leotheme.com/ap_booking_demo/en/home-1.html)
